Pax,Check In,Check Out,Place,Web,Name Hotel,Price(Rm),Ratings
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Bell Suites @ Sepang by MOKA,497.0,8.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Soho Suites KLCC by Rizq ,218.0,7.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,D'Kroll Home@Cybersquare Cyberjaya  Studio Suite ,86.0,9.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Lakeside Service Apartment 28 BLVD-(Netflix),87.0,9.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Infini Suites@ UNA Residences, Sunway Velocity KL",143.0,8.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Diamond Home Cozy  @ Arte Mont Kiara,97.0,9.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,KLIA AIRPORT HOMESTAY,133.0,8.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Studio Arte Plus w KL view by IdealHub 2905,147.0,7.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,The Manor Serviced Residence by Canopy Lives,165.0,9.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Lucentia Residence BBCC Lalaport at Kuala Lumpur By Luxe Home,187.0,8.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,AXQUISITE SUITES AT KLCC,323.0,8.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Regalia Residence The Sky Pool Suite,116.0,7.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,KL Bintang Suites @ Times Square,169.0,7.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Arte Cheras By Awesomestay,147.0,7.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Sky Suites KLCC Kuala Lumpur by Stay Here,214.0,4.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Summer Suites KLCC Apartments By Soulasia ,125.0,8.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Conezion Residence Putrajaya (near IOI City Mall) ,239.0,8.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Mercu Summer Suite KLCC by Kuminshu,148.0,8.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,GLG KLIA Transit House,129.0,8.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Dorsett Residence Service Suite At Bukit Bintang KL,354.0,7.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Eaton Residence KLCC @ infinity Pool View,192.0,8.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,8 Kia Peng Suites KLCC by Luna,168.0,8.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Taragon Residences,116.0,7.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Cozy 2BR 6Pax at IOI City Mall and PICC,144.0,9.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,MANIS EVO SOHO BANGI-POOL VIEW OR SUPERB CITY VIEW,105.0,9.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,M Vertica Premier Suites by BlueBanana,219.0,9.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Regalia Residence @ KLCC View Sky Pool by MC,117.0,7.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,One Bukit Ceylon by Roomy,135.0,9.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Reizz Residence By Minsu,183.0,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Axis Crown Residence Near KLCC,174.0,7.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,The Pano @ Jalan Ipoh,122.0,9.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Revo Home at Pavilion Bukit Jalil,362.0,7.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Summer Suite KLCC by Signature Apartment,113.0,9.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Teddy's Homestay,100.0,8.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Summer Suites Studios,136.0,8.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,The Axon Bukit Bintang by SMOVF BNB,252.0,8.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Arte Cheras Luxury Suites by THE STAY HUB,265.0,8.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Universal Times Suites At Times Square,298.0,9.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,KLCC  Premium Queen bed  One Bukit Ceylon ,148.0,8.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,8 Kia Peng Suites Residence,240.0,9.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,REVO@AURORA PLACE BUKIT JALIL Near Axiata Arena,147.0,8.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,[New 5-Star] Dorsett Residence & Hotel near KLCity,145.0,8.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Regalia Residence Kuala Lumpur by Fantastic,78.0,7.4
